# ---------------------------------- WARNING ----------------------------------------,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,
# for any damages resulting from its use.,,,,,
#,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,
#,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,
#,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,
# retrieved: 2021-10-18 23:11:22 EDT       (nadww02),,,,,
#,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,
"#    USGS 16247900 Kuliouou Valley at Kuliouou, Oahu, HI",,,,,
# -----------------------------------------------------------------------------------,,,,,
#,,,,,
# Data provided for site 16247900,,,,,
#            TS   parameter     Description,,,,,
"#         42276       00060     Discharge, cubic feet per second",,,,,
#,,,,,
# Data-value qualification codes included in this output:,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,
# ,,,,,
agency_cd,site_no,datetime,tz_cd,discharge_ft3_s,42276_00060_cd
USGS,16247900,7/9/09 0:00,HST,0.03,A
USGS,16247900,7/9/09 0:15,HST,0.03,A
USGS,16247900,7/9/09 1:00,HST,0.03,A
USGS,16247900,7/9/09 1:15,HST,0.1,A
USGS,16247900,7/9/09 1:45,HST,0.03,A
USGS,16247900,7/9/09 2:30,HST,0.03,A
USGS,16247900,7/9/09 2:45,HST,0.03,A
USGS,16247900,7/9/09 3:15,HST,0.03,A
USGS,16247900,7/9/09 4:00,HST,0.03,A
USGS,16247900,7/9/09 4:15,HST,0.03,A
USGS,16247900,7/9/09 4:45,HST,0.03,A
USGS,16247900,7/9/09 5:00,HST,0.02,A
USGS,16247900,7/9/09 5:30,HST,0.03,A
USGS,16247900,7/9/09 6:00,HST,0.02,A
USGS,16247900,7/9/09 6:45,HST,0.03,A
USGS,16247900,7/9/09 7:00,HST,0.03,A
USGS,16247900,7/9/09 7:15,HST,0.03,A
USGS,16247900,7/9/09 7:30,HST,0.03,A
USGS,16247900,7/9/09 8:00,HST,0.03,A
USGS,16247900,7/9/09 8:30,HST,0.1,A
USGS,16247900,7/9/09 8:45,HST,0.03,A
USGS,16247900,7/9/09 9:00,HST,0.03,A
USGS,16247900,7/9/09 9:15,HST,0.1,A
USGS,16247900,7/9/09 9:30,HST,0.03,A
USGS,16247900,7/9/09 9:35,HST,0.1,A
USGS,16247900,7/9/09 10:15,HST,0.1,A
USGS,16247900,7/9/09 10:30,HST,0.1,A
USGS,16247900,7/9/09 10:35,HST,0.03,A
USGS,16247900,7/9/09 10:45,HST,0.1,A
USGS,16247900,7/9/09 11:00,HST,0.25,A
USGS,16247900,7/9/09 11:45,HST,0.15,A
USGS,16247900,7/9/09 12:10,HST,0.03,A
USGS,16247900,7/9/09 12:15,HST,0.03,A
USGS,16247900,7/9/09 13:15,HST,0.1,A
USGS,16247900,7/9/09 13:30,HST,0.03,A
USGS,16247900,7/9/09 13:45,HST,0.03,A
USGS,16247900,7/9/09 14:15,HST,0.03,A
USGS,16247900,7/9/09 15:15,HST,0.3,A
USGS,16247900,7/9/09 15:30,HST,0.42,A
USGS,16247900,7/9/09 15:45,HST,0.03,A
USGS,16247900,7/9/09 16:00,HST,0.19,A
USGS,16247900,7/9/09 16:15,HST,0.1,A
USGS,16247900,7/9/09 16:30,HST,0.03,A
USGS,16247900,7/9/09 16:45,HST,0.03,A
USGS,16247900,7/9/09 17:00,HST,0.1,A
USGS,16247900,7/9/09 17:15,HST,0.25,A
USGS,16247900,7/9/09 17:30,HST,0.1,A
USGS,16247900,7/9/09 18:30,HST,0.1,A
USGS,16247900,7/9/09 18:45,HST,0.19,A
USGS,16247900,7/9/09 18:55,HST,0.1,A
USGS,16247900,7/9/09 20:05,HST,0.1,A
USGS,16247900,7/9/09 20:15,HST,0.1,A
USGS,16247900,7/9/09 20:30,HST,0.1,A
USGS,16247900,7/9/09 20:45,HST,0.03,A
USGS,16247900,7/9/09 21:15,HST,0.15,A
USGS,16247900,7/9/09 21:30,HST,0.1,A
USGS,16247900,7/9/09 21:45,HST,0.1,A
USGS,16247900,7/9/09 22:15,HST,0.1,A
USGS,16247900,7/9/09 22:30,HST,0.25,A
USGS,16247900,7/9/09 22:45,HST,0.15,A
USGS,16247900,7/9/09 23:00,HST,0.19,A
USGS,16247900,7/9/09 23:15,HST,0.25,A
USGS,16247900,7/9/09 23:45,HST,0.1,A
USGS,16247900,7/10/09 0:00,HST,0.1,A
USGS,16247900,7/10/09 0:15,HST,0.1,A
USGS,16247900,7/10/09 0:30,HST,0.1,A
USGS,16247900,7/10/09 0:45,HST,0.1,A
USGS,16247900,7/10/09 1:00,HST,0.03,A
USGS,16247900,7/10/09 1:15,HST,0.1,A
USGS,16247900,7/10/09 1:30,HST,0.03,A
USGS,16247900,7/10/09 1:40,HST,0.1,A
USGS,16247900,7/10/09 1:45,HST,0.03,A
USGS,16247900,7/10/09 2:15,HST,0.1,A
USGS,16247900,7/10/09 2:30,HST,0.1,A
USGS,16247900,7/10/09 3:30,HST,0.1,A
USGS,16247900,7/10/09 4:00,HST,0.03,A
USGS,16247900,7/10/09 4:15,HST,0.03,A
USGS,16247900,7/10/09 4:20,HST,0.1,A
USGS,16247900,7/10/09 4:30,HST,0.1,A
USGS,16247900,7/10/09 4:45,HST,0.03,A
USGS,16247900,7/10/09 5:15,HST,0.1,A
USGS,16247900,7/10/09 5:30,HST,0.1,A
USGS,16247900,7/10/09 5:45,HST,0.35,A
USGS,16247900,7/10/09 6:45,HST,0.1,A
USGS,16247900,7/10/09 7:15,HST,0.1,A
USGS,16247900,7/10/09 7:30,HST,0.03,A
USGS,16247900,7/10/09 7:45,HST,0.1,A
USGS,16247900,7/10/09 8:00,HST,0.03,A
USGS,16247900,7/10/09 9:15,HST,0.1,A
USGS,16247900,7/10/09 9:45,HST,0.1,A
USGS,16247900,7/10/09 10:15,HST,0.1,A
USGS,16247900,7/10/09 11:30,HST,0.03,A
USGS,16247900,7/10/09 13:15,HST,0.1,A
USGS,16247900,7/10/09 13:30,HST,0.02,A
USGS,16247900,7/10/09 13:45,HST,0.03,A
USGS,16247900,7/10/09 14:15,HST,0.03,A
USGS,16247900,7/10/09 14:25,HST,0.03,A
USGS,16247900,7/10/09 14:30,HST,0.03,A
USGS,16247900,7/10/09 15:20,HST,0.1,A
USGS,16247900,7/10/09 15:30,HST,0.1,A
USGS,16247900,7/10/09 16:00,HST,0.1,A
USGS,16247900,7/10/09 16:15,HST,0.1,A
USGS,16247900,7/10/09 16:30,HST,0.1,A
USGS,16247900,7/10/09 16:45,HST,0.3,A
USGS,16247900,7/10/09 16:50,HST,0.1,A
USGS,16247900,7/10/09 17:15,HST,0.1,A
USGS,16247900,7/10/09 17:30,HST,0.1,A
USGS,16247900,7/10/09 17:45,HST,0.15,A
USGS,16247900,7/10/09 18:15,HST,0.15,A
USGS,16247900,7/10/09 18:30,HST,0.15,A
USGS,16247900,7/10/09 18:45,HST,0.15,A
USGS,16247900,7/10/09 18:55,HST,0.15,A
USGS,16247900,7/10/09 19:00,HST,0.15,A
USGS,16247900,7/10/09 19:15,HST,0.19,A
USGS,16247900,7/10/09 19:30,HST,0.15,A
USGS,16247900,7/10/09 20:00,HST,0.15,A
USGS,16247900,7/10/09 20:15,HST,0.1,A
USGS,16247900,7/10/09 20:45,HST,0.15,A
USGS,16247900,7/10/09 21:15,HST,1.49,A
USGS,16247900,7/10/09 21:30,HST,0.15,A
USGS,16247900,7/10/09 21:45,HST,0.15,A
USGS,16247900,7/10/09 22:15,HST,0.15,A
USGS,16247900,7/10/09 22:45,HST,0.19,A
USGS,16247900,7/10/09 23:00,HST,0.19,A
USGS,16247900,7/10/09 23:15,HST,0.19,A
USGS,16247900,7/10/09 23:30,HST,0.1,A
USGS,16247900,7/10/09 23:45,HST,0.25,A
USGS,16247900,7/11/09 0:00,HST,0.25,A
USGS,16247900,7/11/09 1:00,HST,0.19,A
USGS,16247900,7/11/09 1:15,HST,0.15,A
USGS,16247900,7/11/09 1:30,HST,0.19,A
USGS,16247900,7/11/09 1:45,HST,0.19,A
USGS,16247900,7/11/09 2:45,HST,0.3,A
USGS,16247900,7/11/09 2:50,HST,0.19,A
USGS,16247900,7/11/09 3:15,HST,0.15,A
USGS,16247900,7/11/09 3:30,HST,0.1,A
USGS,16247900,7/11/09 3:45,HST,0.42,A
USGS,16247900,7/11/09 4:00,HST,0.1,A
USGS,16247900,7/11/09 4:15,HST,0.1,A
USGS,16247900,7/11/09 5:00,HST,0.1,A
USGS,16247900,7/11/09 5:15,HST,0.1,A
USGS,16247900,7/11/09 5:30,HST,0.1,A
USGS,16247900,7/11/09 5:45,HST,0.1,A
USGS,16247900,7/11/09 6:15,HST,0.03,A
USGS,16247900,7/11/09 7:00,HST,0.03,A
USGS,16247900,7/11/09 7:05,HST,0.02,A
USGS,16247900,7/11/09 7:45,HST,0.02,A
USGS,16247900,7/11/09 8:30,HST,0.02,A
USGS,16247900,7/11/09 9:15,HST,0.02,A
USGS,16247900,7/11/09 10:00,HST,0.02,A
USGS,16247900,7/11/09 10:45,HST,0.02,A
USGS,16247900,7/11/09 11:00,HST,0.02,A
USGS,16247900,7/11/09 11:05,HST,0.02,A
USGS,16247900,7/11/09 11:15,HST,0.02,A
USGS,16247900,7/11/09 12:00,HST,0.03,A
USGS,16247900,7/11/09 12:30,HST,0.19,A
USGS,16247900,7/11/09 13:00,HST,0.1,A
