Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann
1920,7.11,1.52,9.01,3.52,4.04,2.75,3.32,3.88,2.56,3.78,5.31,14.62,61.44
1921,19.76,2.63,1.95,3.51,2.56,1.70,3.67,2.72,2.69,4.89,3.31,9.60,59.01
1922,8.68,4.28,6.31,3.20,3.00,1.92,1.87,3.13,6.38,5.00,5.03,1.51,50.30
1923,19.96,8.61,8.97,11.36,1.71,1.78,2.35,2.70,3.87,3.55,2.18,13.57,80.59
1924,1.24,3.72,4.65,17.43,3.42,2.13,4.89,2.75,2.24,6.19,2.94,6.93,58.53
1925,3.94,2.64,7.38,5.31,2.65,3.55,3.72,2.54,3.13,4.13,5.12,4.41,48.50
1926,2.32,1.46,2.14,2.34,1.30,7.50,2.81,5.03,3.46,4.56,1.65,4.12,38.69
1927,7.79,4.50,13.00,9.08,9.96,3.00,4.68,3.85,4.74,2.37,10.79,25.92,99.68
1928,3.80,2.13,2.93,7.38,2.74,2.88,5.31,3.63,2.92,3.33,8.83,4.33,50.20
1929,4.31,6.35,3.04,3.65,2.69,1.61,2.95,5.06,2.45,3.96,9.69,14.62,60.39
1930,10.68,4.39,7.73,4.29,2.01,3.97,3.57,4.67,9.23,6.40,9.09,2.97,68.99
1931,2.12,2.31,3.31,2.85,5.13,1.79,3.65,7.54,7.25,5.81,4.77,4.64,51.17
1932,6.89,23.09,4.91,6.34,4.62,4.63,3.87,4.48,3.11,2.80,7.63,5.97,78.35
1933,6.84,9.53,11.02,2.71,2.45,3.33,3.55,2.18,2.52,1.35,1.91,7.70,55.09
1934,5.55,4.25,2.22,5.89,4.97,7.07,4.32,3.80,6.85,3.97,6.01,5.03,59.92
1935,8.14,12.74,6.30,2.38,2.56,3.39,4.31,2.94,4.97,7.25,5.12,2.97,63.06
1936,5.49,4.76,4.71,5.62,4.20,3.98,5.94,7.39,6.33,13.74,4.20,9.66,76.02
1937,11.31,9.63,7.94,7.36,6.26,2.51,6.33,5.27,3.99,3.97,5.12,10.51,80.20
1938,6.88,10.25,8.65,6.02,6.92,4.03,4.18,8.65,1.88,4.67,3.79,5.99,71.92
1939,6.21,7.30,8.30,9.37,4.30,4.11,3.22,3.24,4.59,16.19,7.00,3.47,77.30
1940,5.59,3.30,4.59,4.03,8.31,2.58,2.66,6.16,3.47,4.08,9.16,2.81,56.76
1941,2.47,1.79,3.92,2.00,3.11,3.82,2.72,5.34,4.50,11.09,1.51,3.40,45.68
1942,1.51,5.65,8.68,5.54,2.43,4.65,4.80,4.49,4.56,7.25,6.18,12.93,68.67
1943,13.26,4.31,5.20,3.59,8.10,3.50,2.95,3.53,2.01,2.33,1.40,5.20,55.39
1944,0.97,7.58,10.94,2.95,2.64,3.95,2.99,2.19,1.93,2.95,4.23,5.16,48.47
1945,0.83,2.58,3.55,14.55,1.15,1.81,4.38,4.59,3.25,2.32,3.41,6.54,48.96
1946,8.59,5.29,4.78,3.72,0.65,3.27,4.75,2.41,1.66,3.20,6.25,10.76,55.33
1947,3.04,1.39,6.11,2.99,5.54,3.44,3.02,4.75,5.88,2.68,6.54,6.06,51.45
1948,12.28,5.64,5.85,6.05,4.55,2.73,3.34,4.24,3.58,3.46,7.82,8.06,67.60
