"subcatchment","n_imperv","n_perv","s_imperv","s_perv","pctzero","RouteTo"
1,0.01,0.4,0.2,0.3,0,"OUTLET"
2,0.01,0.4,0.2,0.3,0,"OUTLET"
4,0.01,0.4,0.2,0.3,0,"OUTLET"
5,0.01,0.4,0.2,0.3,0,"OUTLET"
6,0.01,0.4,0.2,0.3,0,"OUTLET"
7,0.01,0.4,0.2,0.3,0,"OUTLET"
9,0.01,0.4,0.2,0.3,0,"OUTLET"
10,0.01,0.4,0.2,0.3,0,"OUTLET"
11,0.01,0.4,0.2,0.3,0,"OUTLET"
12,0.01,0.4,0.2,0.3,0,"OUTLET"
14,0.01,0.4,0.2,0.3,0,"OUTLET"
18,0.01,0.4,0.2,0.3,0,"OUTLET"
19,0.01,0.4,0.2,0.3,0,"OUTLET"
20,0.01,0.4,0.2,0.3,0,"OUTLET"
21,0.01,0.4,0.2,0.3,0,"OUTLET"
27,0.01,0.4,0.2,0.3,0,"OUTLET"
28,0.01,0.4,0.2,0.3,0,"OUTLET"
29,0.01,0.4,0.2,0.3,0,"OUTLET"
30,0.01,0.4,0.2,0.3,0,"OUTLET"
31,0.01,0.4,0.2,0.3,0,"OUTLET"
32,0.01,0.4,0.2,0.3,0,"OUTLET"
33,0.01,0.4,0.2,0.3,0,"OUTLET"
37,0.01,0.4,0.2,0.3,0,"OUTLET"
38,0.01,0.4,0.2,0.3,0,"OUTLET"
39,0.01,0.4,0.2,0.3,0,"OUTLET"
40,0.01,0.4,0.2,0.3,0,"OUTLET"
41,0.01,0.4,0.2,0.3,0,"OUTLET"
42,0.01,0.4,0.2,0.3,0,"OUTLET"
44,0.01,0.4,0.2,0.3,0,"OUTLET"
45,0.01,0.4,0.2,0.3,0,"OUTLET"
50,0.01,0.4,0.2,0.3,0,"OUTLET"
55,0.01,0.4,0.2,0.3,0,"OUTLET"
62,0.01,0.4,0.2,0.3,0,"OUTLET"
97,0.01,0.4,0.2,0.3,0,"OUTLET"
122,0.01,0.4,0.2,0.3,0,"OUTLET"
127,0.01,0.4,0.2,0.3,0,"OUTLET"
136,0.01,0.4,0.2,0.3,0,"OUTLET"
139,0.01,0.4,0.2,0.3,0,"OUTLET"
232,0.01,0.4,0.2,0.3,0,"OUTLET"
242,0.01,0.4,0.2,0.3,0,"OUTLET"
